CASE,HFO,LSFO,LNG,HFOLNG,Persian Gulf(LNG),Persian Gulf(method),Japan(LNG),Japan(method),Singapore(LNG),Singapore(method),Valid,Explanation
1,0,0,0,20,0,Truck to Ship,0,Truck to Ship,1,Truck to Ship,TRUE,
2,0,0,0,20,0,Truck to Ship,0,Truck to Ship,1,Ship to Ship,TRUE,
3,0,0,0,20,0,Truck to Ship,0,Truck to Ship,1,Shore to Ship,TRUE,
4,0,0,0,20,0,Truck to Ship,0,Truck to Ship,3,Truck to Ship,TRUE,
5,0,0,0,20,0,Truck to Ship,0,Truck to Ship,3,Ship to Ship,TRUE,
6,0,0,0,20,0,Truck to Ship,0,Truck to Ship,3,Shore to Ship,TRUE,
7,0,0,0,20,0,Truck to Ship,0,Ship to Ship,1,Truck to Ship,TRUE,
8,0,0,0,20,0,Truck to Ship,0,Ship to Ship,1,Ship to Ship,TRUE,
9,0,0,0,20,0,Truck to Ship,0,Ship to Ship,1,Shore to Ship,TRUE,
10,0,0,0,20,0,Truck to Ship,0,Ship to Ship,3,Truck to Ship,TRUE,
11,0,0,0,20,0,Truck to Ship,0,Ship to Ship,3,Ship to Ship,TRUE,
12,0,0,0,20,0,Truck to Ship,0,Ship to Ship,3,Shore to Ship,TRUE,
13,0,0,0,20,0,Truck to Ship,0,Shore to Ship,1,Truck to Ship,TRUE,
14,0,0,0,20,0,Truck to Ship,0,Shore to Ship,1,Ship to Ship,TRUE,
15,0,0,0,20,0,Truck to Ship,0,Shore to Ship,1,Shore to Ship,TRUE,
16,0,0,0,20,0,Truck to Ship,0,Shore to Ship,3,Truck to Ship,TRUE,
17,0,0,0,20,0,Truck to Ship,0,Shore to Ship,3,Ship to Ship,TRUE,
18,0,0,0,20,0,Truck to Ship,0,Shore to Ship,3,Shore to Ship,TRUE,
19,0,0,0,20,0,Truck to Ship,1,Truck to Ship,1,Truck to Ship,TRUE,
20,0,0,0,20,0,Truck to Ship,1,Truck to Ship,1,Ship to Ship,TRUE,
21,0,0,0,20,0,Truck to Ship,1,Truck to Ship,1,Shore to Ship,TRUE,
22,0,0,0,20,0,Truck to Ship,1,Truck to Ship,3,Truck to Ship,TRUE,
23,0,0,0,20,0,Truck to Ship,1,Truck to Ship,3,Ship to Ship,TRUE,
24,0,0,0,20,0,Truck to Ship,1,Truck to Ship,3,Shore to Ship,TRUE,
25,0,0,0,20,0,Truck to Ship,1,Ship to Ship,1,Truck to Ship,TRUE,
26,0,0,0,20,0,Truck to Ship,1,Ship to Ship,1,Ship to Ship,TRUE,
27,0,0,0,20,0,Truck to Ship,1,Ship to Ship,1,Shore to Ship,TRUE,
28,0,0,0,20,0,Truck to Ship,1,Ship to Ship,3,Truck to Ship,TRUE,
29,0,0,0,20,0,Truck to Ship,1,Ship to Ship,3,Ship to Ship,TRUE,
30,0,0,0,20,0,Truck to Ship,1,Ship to Ship,3,Shore to Ship,TRUE,
31,0,0,0,20,0,Truck to Ship,1,Shore to Ship,1,Truck to Ship,TRUE,
32,0,0,0,20,0,Truck to Ship,1,Shore to Ship,1,Ship to Ship,TRUE,
33,0,0,0,20,0,Truck to Ship,1,Shore to Ship,1,Shore to Ship,TRUE,
34,0,0,0,20,0,Truck to Ship,1,Shore to Ship,3,Truck to Ship,TRUE,
35,0,0,0,20,0,Truck to Ship,1,Shore to Ship,3,Ship to Ship,TRUE,
36,0,0,0,20,0,Truck to Ship,1,Shore to Ship,3,Shore to Ship,TRUE,
37,0,0,0,20,0,Truck to Ship,3,Truck to Ship,1,Truck to Ship,TRUE,
38,0,0,0,20,0,Truck to Ship,3,Truck to Ship,1,Ship to Ship,TRUE,
39,0,0,0,20,0,Truck to Ship,3,Truck to Ship,1,Shore to Ship,TRUE,
40,0,0,0,20,0,Truck to Ship,3,Truck to Ship,3,Truck to Ship,TRUE,
41,0,0,0,20,0,Truck to Ship,3,Truck to Ship,3,Ship to Ship,TRUE,
42,0,0,0,20,0,Truck to Ship,3,Truck to Ship,3,Shore to Ship,TRUE,
43,0,0,0,20,0,Truck to Ship,3,Ship to Ship,1,Truck to Ship,TRUE,
44,0,0,0,20,0,Truck to Ship,3,Ship to Ship,1,Ship to Ship,TRUE,
45,0,0,0,20,0,Truck to Ship,3,Ship to Ship,1,Shore to Ship,TRUE,
46,0,0,0,20,0,Truck to Ship,3,Ship to Ship,3,Truck to Ship,TRUE,
47,0,0,0,20,0,Truck to Ship,3,Ship to Ship,3,Ship to Ship,TRUE,
48,0,0,0,20,0,Truck to Ship,3,Ship to Ship,3,Shore to Ship,TRUE,
49,0,0,0,20,0,Truck to Ship,3,Shore to Ship,1,Truck to Ship,TRUE,
50,0,0,0,20,0,Truck to Ship,3,Shore to Ship,1,Ship to Ship,TRUE,
51,0,0,0,20,0,Truck to Ship,3,Shore to Ship,1,Shore to Ship,TRUE,
52,0,0,0,20,0,Truck to Ship,3,Shore to Ship,3,Truck to Ship,TRUE,
53,0,0,0,20,0,Truck to Ship,3,Shore to Ship,3,Ship to Ship,TRUE,
54,0,0,0,20,0,Truck to Ship,3,Shore to Ship,3,Shore to Ship,TRUE,
55,0,0,0,20,1,Truck to Ship,0,Truck to Ship,1,Truck to Ship,TRUE,
56,0,0,0,20,1,Truck to Ship,0,Truck to Ship,1,Ship to Ship,TRUE,
57,0,0,0,20,1,Truck to Ship,0,Truck to Ship,1,Shore to Ship,TRUE,
58,0,0,0,20,1,Truck to Ship,0,Truck to Ship,3,Truck to Ship,TRUE,
59,0,0,0,20,1,Truck to Ship,0,Truck to Ship,3,Ship to Ship,TRUE,
60,0,0,0,20,1,Truck to Ship,0,Truck to Ship,3,Shore to Ship,TRUE,
61,0,0,0,20,1,Truck to Ship,0,Ship to Ship,1,Truck to Ship,TRUE,
62,0,0,0,20,1,Truck to Ship,0,Ship to Ship,1,Ship to Ship,TRUE,
63,0,0,0,20,1,Truck to Ship,0,Ship to Ship,1,Shore to Ship,TRUE,
64,0,0,0,20,1,Truck to Ship,0,Ship to Ship,3,Truck to Ship,TRUE,
65,0,0,0,20,1,Truck to Ship,0,Ship to Ship,3,Ship to Ship,TRUE,
66,0,0,0,20,1,Truck to Ship,0,Ship to Ship,3,Shore to Ship,TRUE,
67,0,0,0,20,1,Truck to Ship,0,Shore to Ship,1,Truck to Ship,TRUE,
68,0,0,0,20,1,Truck to Ship,0,Shore to Ship,1,Ship to Ship,TRUE,
69,0,0,0,20,1,Truck to Ship,0,Shore to Ship,1,Shore to Ship,TRUE,
70,0,0,0,20,1,Truck to Ship,0,Shore to Ship,3,Truck to Ship,TRUE,
71,0,0,0,20,1,Truck to Ship,0,Shore to Ship,3,Ship to Ship,TRUE,
72,0,0,0,20,1,Truck to Ship,0,Shore to Ship,3,Shore to Ship,TRUE,
73,0,0,0,20,1,Truck to Ship,1,Truck to Ship,0,Truck to Ship,TRUE,
74,0,0,0,20,1,Truck to Ship,1,Truck to Ship,1,Truck to Ship,TRUE,
75,0,0,0,20,1,Truck to Ship,1,Truck to Ship,1,Ship to Ship,TRUE,
76,0,0,0,20,1,Truck to Ship,1,Truck to Ship,1,Shore to Ship,TRUE,
77,0,0,0,20,1,Truck to Ship,1,Truck to Ship,3,Truck to Ship,TRUE,
78,0,0,0,20,1,Truck to Ship,1,Truck to Ship,3,Ship to Ship,TRUE,
79,0,0,0,20,1,Truck to Ship,1,Truck to Ship,3,Shore to Ship,TRUE,
80,0,0,0,20,1,Truck to Ship,1,Ship to Ship,0,Truck to Ship,TRUE,
81,0,0,0,20,1,Truck to Ship,1,Ship to Ship,1,Truck to Ship,TRUE,
82,0,0,0,20,1,Truck to Ship,1,Ship to Ship,1,Ship to Ship,TRUE,
83,0,0,0,20,1,Truck to Ship,1,Ship to Ship,1,Shore to Ship,TRUE,
84,0,0,0,20,1,Truck to Ship,1,Ship to Ship,3,Truck to Ship,TRUE,
85,0,0,0,20,1,Truck to Ship,1,Ship to Ship,3,Ship to Ship,TRUE,
86,0,0,0,20,1,Truck to Ship,1,Ship to Ship,3,Shore to Ship,TRUE,
87,0,0,0,20,1,Truck to Ship,1,Shore to Ship,0,Truck to Ship,TRUE,
88,0,0,0,20,1,Truck to Ship,1,Shore to Ship,1,Truck to Ship,TRUE,
89,0,0,0,20,1,Truck to Ship,1,Shore to Ship,1,Ship to Ship,TRUE,
90,0,0,0,20,1,Truck to Ship,1,Shore to Ship,1,Shore to Ship,TRUE,
91,0,0,0,20,1,Truck to Ship,1,Shore to Ship,3,Truck to Ship,TRUE,
92,0,0,0,20,1,Truck to Ship,1,Shore to Ship,3,Ship to Ship,TRUE,
93,0,0,0,20,1,Truck to Ship,1,Shore to Ship,3,Shore to Ship,TRUE,
94,0,0,0,20,1,Truck to Ship,3,Truck to Ship,0,Truck to Ship,TRUE,
95,0,0,0,20,1,Truck to Ship,3,Truck to Ship,1,Truck to Ship,TRUE,
96,0,0,0,20,1,Truck to Ship,3,Truck to Ship,1,Ship to Ship,TRUE,
97,0,0,0,20,1,Truck to Ship,3,Truck to Ship,1,Shore to Ship,TRUE,
98,0,0,0,20,1,Truck to Ship,3,Truck to Ship,3,Truck to Ship,TRUE,
99,0,0,0,20,1,Truck to Ship,3,Truck to Ship,3,Ship to Ship,TRUE,
100,0,0,0,20,1,Truck to Ship,3,Truck to Ship,3,Shore to Ship,TRUE,
101,0,0,0,20,1,Truck to Ship,3,Ship to Ship,0,Truck to Ship,TRUE,
102,0,0,0,20,1,Truck to Ship,3,Ship to Ship,1,Truck to Ship,TRUE,
103,0,0,0,20,1,Truck to Ship,3,Ship to Ship,1,Ship to Ship,TRUE,
104,0,0,0,20,1,Truck to Ship,3,Ship to Ship,1,Shore to Ship,TRUE,
105,0,0,0,20,1,Truck to Ship,3,Ship to Ship,3,Truck to Ship,TRUE,
106,0,0,0,20,1,Truck to Ship,3,Ship to Ship,3,Ship to Ship,TRUE,
107,0,0,0,20,1,Truck to Ship,3,Ship to Ship,3,Shore to Ship,TRUE,
108,0,0,0,20,1,Truck to Ship,3,Shore to Ship,0,Truck to Ship,TRUE,
109,0,0,0,20,1,Truck to Ship,3,Shore to Ship,1,Truck to Ship,TRUE,
110,0,0,0,20,1,Truck to Ship,3,Shore to Ship,1,Ship to Ship,TRUE,
111,0,0,0,20,1,Truck to Ship,3,Shore to Ship,1,Shore to Ship,TRUE,
112,0,0,0,20,1,Truck to Ship,3,Shore to Ship,3,Truck to Ship,TRUE,
113,0,0,0,20,1,Truck to Ship,3,Shore to Ship,3,Ship to Ship,TRUE,
114,0,0,0,20,1,Truck to Ship,3,Shore to Ship,3,Shore to Ship,TRUE,
115,0,0,0,20,1,Ship to Ship,0,Truck to Ship,1,Truck to Ship,TRUE,
116,0,0,0,20,1,Ship to Ship,0,Truck to Ship,1,Ship to Ship,TRUE,
117,0,0,0,20,1,Ship to Ship,0,Truck to Ship,1,Shore to Ship,TRUE,
118,0,0,0,20,1,Ship to Ship,0,Truck to Ship,3,Truck to Ship,TRUE,
119,0,0,0,20,1,Ship to Ship,0,Truck to Ship,3,Ship to Ship,TRUE,
120,0,0,0,20,1,Ship to Ship,0,Truck to Ship,3,Shore to Ship,TRUE,
121,0,0,0,20,1,Ship to Ship,0,Ship to Ship,1,Truck to Ship,TRUE,
122,0,0,0,20,1,Ship to Ship,0,Ship to Ship,1,Ship to Ship,TRUE,
123,0,0,0,20,1,Ship to Ship,0,Ship to Ship,1,Shore to Ship,TRUE,
124,0,0,0,20,1,Ship to Ship,0,Ship to Ship,3,Truck to Ship,TRUE,
125,0,0,0,20,1,Ship to Ship,0,Ship to Ship,3,Ship to Ship,TRUE,
126,0,0,0,20,1,Ship to Ship,0,Ship to Ship,3,Shore to Ship,TRUE,
127,0,0,0,20,1,Ship to Ship,0,Shore to Ship,1,Truck to Ship,TRUE,
128,0,0,0,20,1,Ship to Ship,0,Shore to Ship,1,Ship to Ship,TRUE,
129,0,0,0,20,1,Ship to Ship,0,Shore to Ship,1,Shore to Ship,TRUE,
130,0,0,0,20,1,Ship to Ship,0,Shore to Ship,3,Truck to Ship,TRUE,
131,0,0,0,20,1,Ship to Ship,0,Shore to Ship,3,Ship to Ship,TRUE,
132,0,0,0,20,1,Ship to Ship,0,Shore to Ship,3,Shore to Ship,TRUE,
133,0,0,0,20,1,Ship to Ship,1,Truck to Ship,0,Truck to Ship,TRUE,
134,0,0,0,20,1,Ship to Ship,1,Truck to Ship,1,Truck to Ship,TRUE,
135,0,0,0,20,1,Ship to Ship,1,Truck to Ship,1,Ship to Ship,TRUE,
136,0,0,0,20,1,Ship to Ship,1,Truck to Ship,1,Shore to Ship,TRUE,
137,0,0,0,20,1,Ship to Ship,1,Truck to Ship,3,Truck to Ship,TRUE,
138,0,0,0,20,1,Ship to Ship,1,Truck to Ship,3,Ship to Ship,TRUE,
139,0,0,0,20,1,Ship to Ship,1,Truck to Ship,3,Shore to Ship,TRUE,
140,0,0,0,20,1,Ship to Ship,1,Ship to Ship,0,Truck to Ship,TRUE,
141,0,0,0,20,1,Ship to Ship,1,Ship to Ship,1,Truck to Ship,TRUE,
142,0,0,0,20,1,Ship to Ship,1,Ship to Ship,1,Ship to Ship,TRUE,
143,0,0,0,20,1,Ship to Ship,1,Ship to Ship,1,Shore to Ship,TRUE,
144,0,0,0,20,1,Ship to Ship,1,Ship to Ship,3,Truck to Ship,TRUE,
145,0,0,0,20,1,Ship to Ship,1,Ship to Ship,3,Ship to Ship,TRUE,
146,0,0,0,20,1,Ship to Ship,1,Ship to Ship,3,Shore to Ship,TRUE,
147,0,0,0,20,1,Ship to Ship,1,Shore to Ship,0,Truck to Ship,TRUE,
148,0,0,0,20,1,Ship to Ship,1,Shore to Ship,1,Truck to Ship,TRUE,
149,0,0,0,20,1,Ship to Ship,1,Shore to Ship,1,Ship to Ship,TRUE,
150,0,0,0,20,1,Ship to Ship,1,Shore to Ship,1,Shore to Ship,TRUE,
151,0,0,0,20,1,Ship to Ship,1,Shore to Ship,3,Truck to Ship,TRUE,
152,0,0,0,20,1,Ship to Ship,1,Shore to Ship,3,Ship to Ship,TRUE,
153,0,0,0,20,1,Ship to Ship,1,Shore to Ship,3,Shore to Ship,TRUE,
154,0,0,0,20,1,Ship to Ship,3,Truck to Ship,0,Truck to Ship,TRUE,
155,0,0,0,20,1,Ship to Ship,3,Truck to Ship,1,Truck to Ship,TRUE,
156,0,0,0,20,1,Ship to Ship,3,Truck to Ship,1,Ship to Ship,TRUE,
157,0,0,0,20,1,Ship to Ship,3,Truck to Ship,1,Shore to Ship,TRUE,
158,0,0,0,20,1,Ship to Ship,3,Truck to Ship,3,Truck to Ship,TRUE,
159,0,0,0,20,1,Ship to Ship,3,Truck to Ship,3,Ship to Ship,TRUE,
160,0,0,0,20,1,Ship to Ship,3,Truck to Ship,3,Shore to Ship,TRUE,
161,0,0,0,20,1,Ship to Ship,3,Ship to Ship,0,Truck to Ship,TRUE,
162,0,0,0,20,1,Ship to Ship,3,Ship to Ship,1,Truck to Ship,TRUE,
163,0,0,0,20,1,Ship to Ship,3,Ship to Ship,1,Ship to Ship,TRUE,
164,0,0,0,20,1,Ship to Ship,3,Ship to Ship,1,Shore to Ship,TRUE,
